Date,Region,Product,Product Category,Temperature,DayOfWeek,Sales,source_file,is_anomaly,anomaly_score
2025-02-01,South,Almond Drink,AB,25.2,Saturday,947,sales_2025-02-01.csv,0,-0.5109489496265903
2025-02-01,South,Oat Latte,AB,25.2,Saturday,784,sales_2025-02-01.csv,0,-0.5122236980290027
2025-02-01,South,Strawberry Shake,AC,25.2,Saturday,980,sales_2025-02-01.csv,0,-0.5178049721983806
2025-02-01,South,Chocolate Shake,AC,25.2,Saturday,930,sales_2025-02-01.csv,0,-0.5196574028705706
2025-02-01,South,Vanilla Shake,AC,25.2,Saturday,972,sales_2025-02-01.csv,0,-0.5178049721983806
2025-02-01,South,Orange Juice,AD,25.2,Saturday,1142,sales_2025-02-01.csv,0,-0.5023734273190502
2025-02-01,South,Apple Juice,AD,25.2,Saturday,1214,sales_2025-02-01.csv,0,-0.5010185049499394
2025-02-01,South,Mango Juice,AD,25.2,Saturday,551,sales_2025-02-01.csv,1,-0.5368656338615168
2025-02-01,South,Pepsi Max,AE,25.2,Saturday,1171,sales_2025-02-01.csv,0,-0.4974590055097227
2025-02-01,South,Cola Zero,AE,25.2,Saturday,1094,sales_2025-02-01.csv,0,-0.4980735545546708
2025-02-01,South,Sprite Zero,AE,25.2,Saturday,1106,sales_2025-02-01.csv,0,-0.49762656309212006
2025-02-01,South,Kombucha,AF,25.2,Saturday,1153,sales_2025-02-01.csv,0,-0.5126928082180284
2025-02-01,South,Coconut Water,AF,25.2,Saturday,1043,sales_2025-02-01.csv,0,-0.5120650288001519
2025-02-01,South,Isotonic Drink,AF,25.2,Saturday,2485,sales_2025-02-01.csv,1,-0.549980633496411
2025-02-01,East,Coca-Cola,AA,14.6,Saturday,1035,sales_2025-02-01.csv,0,-0.4930242694734519
2025-02-01,East,Fanta,AA,14.6,Saturday,1129,sales_2025-02-01.csv,0,-0.49033414669096487
2025-02-01,East,Sprite,AA,14.6,Saturday,1196,sales_2025-02-01.csv,0,-0.4896279134467628
2025-02-01,East,Pepsi,AA,14.6,Saturday,1180,sales_2025-02-01.csv,0,-0.4905253787539724
2025-02-01,East,Golden Milk,AB,14.6,Saturday,1021,sales_2025-02-01.csv,0,-0.49826583135813013
2025-02-01,East,Almond Drink,AB,14.6,Saturday,1189,sales_2025-02-01.csv,0,-0.5024292929465274
2025-02-01,East,Oat Latte,AB,14.6,Saturday,1051,sales_2025-02-01.csv,0,-0.49785896164599136
2025-02-01,East,Strawberry Shake,AC,14.6,Saturday,1289,sales_2025-02-01.csv,0,-0.5071955201540989
2025-02-01,East,Chocolate Shake,AC,14.6,Saturday,1377,sales_2025-02-01.csv,0,-0.5127400836174328
2025-02-01,East,Vanilla Shake,AC,14.6,Saturday,1129,sales_2025-02-01.csv,0,-0.5012464511714473
2025-02-01,East,Orange Juice,AD,14.6,Saturday,1081,sales_2025-02-01.csv,0,-0.5052445021488325
2025-02-01,East,Apple Juice,AD,14.6,Saturday,1276,sales_2025-02-01.csv,0,-0.5069713263564273
2025-02-01,East,Mango Juice,AD,14.6,Saturday,1098,sales_2025-02-01.csv,0,-0.5052445021488325
2025-02-01,East,Pepsi Max,AE,14.6,Saturday,1200,sales_2025-02-01.csv,0,-0.4885015200961217
2025-02-01,East,Cola Zero,AE,14.6,Saturday,1273,sales_2025-02-01.csv,0,-0.49321497437893275
2025-02-01,East,Sprite Zero,AE,14.6,Saturday,1260,sales_2025-02-01.csv,0,-0.4925480207283091
2025-02-01,East,Kombucha,AF,14.6,Saturday,1113,sales_2025-02-01.csv,0,-0.4987080010008588
2025-02-01,East,Coconut Water,AF,14.6,Saturday,1095,sales_2025-02-01.csv,0,-0.49877798403442125
2025-02-01,East,Isotonic Drink,AF,14.6,Saturday,1065,sales_2025-02-01.csv,0,-0.49877798403442125
2025-02-02,North,Coca-Cola,AA,11.7,Sunday,1218,sales_2025-02-02.csv,0,-0.4828611724590391
2025-02-02,North,Fanta,AA,11.7,Sunday,1184,sales_2025-02-02.csv,0,-0.4835150092590323
2025-02-02,North,Sprite,AA,11.7,Sunday,1069,sales_2025-02-02.csv,0,-0.4838891701665525
2025-02-02,North,Pepsi,AA,11.7,Sunday,1261,sales_2025-02-02.csv,0,-0.48291543605419784
2025-02-02,North,Golden Milk,AB,11.7,Sunday,1076,sales_2025-02-02.csv,0,-0.49422387868323736
2025-02-02,North,Almond Drink,AB,11.7,Sunday,1022,sales_2025-02-02.csv,0,-0.4953288673967789
2025-02-02,North,Oat Latte,AB,11.7,Sunday,1003,sales_2025-02-02.csv,0,-0.4939848859090488
2025-02-02,North,Strawberry Shake,AC,11.7,Sunday,1131,sales_2025-02-02.csv,0,-0.4951140398194665
2025-02-02,North,Chocolate Shake,AC,11.7,Sunday,1229,sales_2025-02-02.csv,0,-0.498163597073119
2025-02-02,North,Vanilla Shake,AC,11.7,Sunday,1248,sales_2025-02-02.csv,0,-0.500563695978443
2025-02-02,North,Orange Juice,AD,11.7,Sunday,1100,sales_2025-02-02.csv,0,-0.5114289689745027
2025-02-02,North,Apple Juice,AD,11.7,Sunday,1239,sales_2025-02-02.csv,0,-0.512283473186214
2025-02-02,North,Mango Juice,AD,11.7,Sunday,1081,sales_2025-02-02.csv,0,-0.5110523342809659
2025-02-02,North,Pepsi Max,AE,11.7,Sunday,1047,sales_2025-02-02.csv,0,-0.48818470833549654
2025-02-02,North,Cola Zero,AE,11.7,Sunday,1269,sales_2025-02-02.csv,0,-0.49157158518133215
2025-02-02,North,Sprite Zero,AE,11.7,Sunday,1168,sales_2025-02-02.csv,0,-0.4854899229578658
2025-02-02,North,Kombucha,AF,11.7,Sunday,984,sales_2025-02-02.csv,0,-0.48178809690219543
2025-02-02,North,Coconut Water,AF,11.7,Sunday,934,sales_2025-02-02.csv,0,-0.48309374780886566
2025-02-02,North,Isotonic Drink,AF,11.7,Sunday,880,sales_2025-02-02.csv,0,-0.4838157832388133
2025-02-02,South,Coca-Cola,AA,26.8,Sunday,1480,sales_2025-02-02.csv,0,-0.5154834557965852
2025-02-02,South,Fanta,AA,26.8,Sunday,729,sales_2025-02-02.csv,0,-0.5198409345708634
2025-02-02,South,Sprite,AA,26.8,Sunday,1585,sales_2025-02-02.csv,0,-0.5227541114607762
2025-02-02,South,Pepsi,AA,26.8,Sunday,1506,sales_2025-02-02.csv,0,-0.5185423761882978
2025-02-02,South,Golden Milk,AB,26.8,Sunday,760,sales_2025-02-02.csv,0,-0.5152844939890262
2025-02-02,South,Almond Drink,AB,26.8,Sunday,785,sales_2025-02-02.csv,0,-0.5152844939890262
2025-02-02,South,Oat Latte,AB,26.8,Sunday,751,sales_2025-02-02.csv,0,-0.5152844939890262
2025-02-02,South,Strawberry Shake,AC,26.8,Sunday,1056,sales_2025-02-02.csv,1,-0.528361746179321
2025-02-02,South,Chocolate Shake,AC,26.8,Sunday,922,sales_2025-02-02.csv,1,-0.5318188683090043
2025-02-02,South,Vanilla Shake,AC,26.8,Sunday,991,sales_2025-02-02.csv,1,-0.5307404989889395
2025-02-02,South,Orange Juice,AD,26.8,Sunday,1313,sales_2025-02-02.csv,0,-0.5196239720844207
2025-02-02,South,Apple Juice,AD,26.8,Sunday,1415,sales_2025-02-02.csv,0,-0.5258345077536328
2025-02-02,South,Mango Juice,AD,26.8,Sunday,1484,sales_2025-02-02.csv,1,-0.5314085158672212
2025-02-02,South,Pepsi Max,AE,26.8,Sunday,1051,sales_2025-02-02.csv,0,-0.4996841462804133
2025-02-02,South,Cola Zero,AE,26.8,Sunday,1146,sales_2025-02-02.csv,0,-0.5023718454885626
2025-02-02,South,Sprite Zero,AE,26.8,Sunday,998,sales_2025-02-02.csv,0,-0.5061182047143438
2025-02-02,South,Kombucha,AF,26.8,Sunday,1050,sales_2025-02-02.csv,0,-0.504731600418844
2025-02-02,South,Coconut Water,AF,26.8,Sunday,1172,sales_2025-02-02.csv,0,-0.5122273393829552
2025-02-02,South,Isotonic Drink,AF,26.8,Sunday,1118,sales_2025-02-02.csv,0,-0.5063972678915164
2025-02-02,East,Coca-Cola,AA,18.9,Sunday,3068,sales_2025-02-02.csv,1,-0.5427844446538845
2025-02-02,East,Fanta,AA,18.9,Sunday,1464,sales_2025-02-02.csv,0,-0.5055997348465757
2025-02-02,East,Sprite,AA,18.9,Sunday,1596,sales_2025-02-02.csv,0,-0.5105407702020632
2025-02-02,East,Pepsi,AA,18.9,Sunday,1412,sales_2025-02-02.csv,0,-0.5043649467280994
2025-02-02,East,Golden Milk,AB,18.9,Sunday,895,sales_2025-02-02.csv,0,-0.50865968507034
2025-02-02,East,Almond Drink,AB,18.9,Sunday,906,sales_2025-02-02.csv,0,-0.50865968507034
2025-02-02,East,Oat Latte,AB,18.9,Sunday,763,sales_2025-02-02.csv,0,-0.5156447544479619
2025-02-02,East,Strawberry Shake,AC,18.9,Sunday,1035,sales_2025-02-02.csv,0,-0.5114353194579684
2025-02-02,East,Chocolate Shake,AC,18.9,Sunday,893,sales_2025-02-02.csv,0,-0.5156513696347877
2025-02-02,East,Vanilla Shake,AC,18.9,Sunday,975,sales_2025-02-02.csv,0,-0.5132664778322934
2025-02-02,East,Orange Juice,AD,18.9,Sunday,1413,sales_2025-02-02.csv,0,-0.5233498183817764
2025-02-02,East,Apple Juice,AD,18.9,Sunday,1275,sales_2025-02-02.csv,0,-0.5201802711563903
2025-02-02,East,Mango Juice,AD,18.9,Sunday,1361,sales_2025-02-02.csv,0,-0.5200466820953237
2025-02-02,East,Pepsi Max,AE,18.9,Sunday,1183,sales_2025-02-02.csv,0,-0.5036149806196419
2025-02-02,East,Cola Zero,AE,18.9,Sunday,1132,sales_2025-02-02.csv,0,-0.5009981430729977
2025-02-02,East,Sprite Zero,AE,18.9,Sunday,1016,sales_2025-02-02.csv,0,-0.5029465705949707
2025-02-02,East,Kombucha,AF,18.9,Sunday,1074,sales_2025-02-02.csv,0,-0.4944085880537088
2025-02-02,East,Coconut Water,AF,18.9,Sunday,3082,sales_2025-02-02.csv,1,-0.5429791749966643
2025-02-02,East,Isotonic Drink,AF,18.9,Sunday,956,sales_2025-02-02.csv,0,-0.49502254082359987
2025-02-03,North,Coca-Cola,AA,13.2,Monday,1213,sales_2025-02-03.csv,0,-0.4807818551241677
2025-02-03,North,Fanta,AA,13.2,Monday,1260,sales_2025-02-03.csv,0,-0.480185671112952
2025-02-03,North,Sprite,AA,13.2,Monday,1304,sales_2025-02-03.csv,0,-0.4801385597918904
2025-02-03,North,Pepsi,AA,13.2,Monday,1365,sales_2025-02-03.csv,0,-0.4841675539548008
2025-02-03,North,Golden Milk,AB,13.2,Monday,955,sales_2025-02-03.csv,0,-0.4976982760362866
2025-02-03,North,Almond Drink,AB,13.2,Monday,1031,sales_2025-02-03.csv,0,-0.49735638923406944
2025-02-03,North,Oat Latte,AB,13.2,Monday,1009,sales_2025-02-03.csv,0,-0.49928569677520085
2025-02-03,North,Strawberry Shake,AC,13.2,Monday,1173,sales_2025-02-03.csv,0,-0.505997051327343
2025-02-03,North,Chocolate Shake,AC,13.2,Monday,1101,sales_2025-02-03.csv,0,-0.5057667086291053
2025-02-03,North,Vanilla Shake,AC,13.2,Monday,1070,sales_2025-02-03.csv,0,-0.5057667086291053
2025-02-03,North,Orange Juice,AD,13.2,Monday,1141,sales_2025-02-03.csv,0,-0.49139558660407223
2025-02-03,North,Apple Juice,AD,13.2,Monday,1165,sales_2025-02-03.csv,0,-0.4921971747983592
2025-02-03,North,Mango Juice,AD,13.2,Monday,1241,sales_2025-02-03.csv,0,-0.494942370008141
2025-02-03,North,Pepsi Max,AE,13.2,Monday,1219,sales_2025-02-03.csv,0,-0.48170382480094975
2025-02-03,North,Cola Zero,AE,13.2,Monday,1189,sales_2025-02-03.csv,0,-0.4800863345456557
2025-02-03,North,Sprite Zero,AE,13.2,Monday,1128,sales_2025-02-03.csv,0,-0.4807664171323257
2025-02-03,North,Kombucha,AF,13.2,Monday,1156,sales_2025-02-03.csv,0,-0.4795187441154058
2025-02-03,North,Coconut Water,AF,13.2,Monday,1136,sales_2025-02-03.csv,0,-0.47808575653948093
2025-02-03,North,Isotonic Drink,AF,13.2,Monday,1005,sales_2025-02-03.csv,0,-0.48082405401268224
2025-02-03,South,Coca-Cola,AA,20.5,Monday,1159,sales_2025-02-03.csv,0,-0.4791667465237968
2025-02-03,South,Fanta,AA,20.5,Monday,1239,sales_2025-02-03.csv,0,-0.47680398557943215
2025-02-03,South,Sprite,AA,20.5,Monday,1173,sales_2025-02-03.csv,0,-0.47934366214708884
2025-02-03,South,Pepsi,AA,20.5,Monday,1189,sales_2025-02-03.csv,0,-0.4780481465459707
2025-02-03,South,Golden Milk,AB,20.5,Monday,1010,sales_2025-02-03.csv,0,-0.49568230562306936
2025-02-03,South,Almond Drink,AB,20.5,Monday,1057,sales_2025-02-03.csv,0,-0.49424774982362357
2025-02-03,South,Oat Latte,AB,20.5,Monday,1133,sales_2025-02-03.csv,0,-0.4962609204912982
2025-02-03,South,Strawberry Shake,AC,20.5,Monday,1208,sales_2025-02-03.csv,0,-0.5031395023995019
2025-02-03,South,Chocolate Shake,AC,20.5,Monday,1235,sales_2025-02-03.csv,0,-0.5038207978545158
2025-02-03,South,Vanilla Shake,AC,20.5,Monday,1243,sales_2025-02-03.csv,0,-0.5038207978545158
2025-02-03,South,Orange Juice,AD,20.5,Monday,1170,sales_2025-02-03.csv,0,-0.4847247699243846
2025-02-03,South,Apple Juice,AD,20.5,Monday,1051,sales_2025-02-03.csv,0,-0.488899153448207
2025-02-03,South,Mango Juice,AD,20.5,Monday,1019,sales_2025-02-03.csv,0,-0.4890796624236039
2025-02-03,South,Pepsi Max,AE,20.5,Monday,2301,sales_2025-02-03.csv,0,-0.5218562058162738
2025-02-03,South,Cola Zero,AE,20.5,Monday,1212,sales_2025-02-03.csv,0,-0.47765060762127004
2025-02-03,South,Sprite Zero,AE,20.5,Monday,1239,sales_2025-02-03.csv,0,-0.47765060762127004
2025-02-03,South,Kombucha,AF,20.5,Monday,950,sales_2025-02-03.csv,0,-0.4879038456869726
2025-02-03,South,Coconut Water,AF,20.5,Monday,1084,sales_2025-02-03.csv,0,-0.4821900940484883
2025-02-03,South,Isotonic Drink,AF,20.5,Monday,977,sales_2025-02-03.csv,0,-0.4869338219347209
2025-02-03,East,Coca-Cola,AA,17.1,Monday,1292,sales_2025-02-03.csv,0,-0.481637078777163
2025-02-03,East,Fanta,AA,17.1,Monday,1315,sales_2025-02-03.csv,0,-0.48255568964633955
2025-02-03,East,Sprite,AA,17.1,Monday,3376,sales_2025-02-03.csv,1,-0.5361891495574589
2025-02-03,East,Pepsi,AA,17.1,Monday,1353,sales_2025-02-03.csv,0,-0.48321684957336797
2025-02-03,East,Golden Milk,AB,17.1,Monday,884,sales_2025-02-03.csv,0,-0.49681416208060347
2025-02-03,East,Almond Drink,AB,17.1,Monday,1054,sales_2025-02-03.csv,0,-0.48732626414461255
2025-02-03,East,Oat Latte,AB,17.1,Monday,870,sales_2025-02-03.csv,0,-0.4990416453858153
2025-02-03,East,Strawberry Shake,AC,17.1,Monday,1101,sales_2025-02-03.csv,0,-0.4928805625939741
2025-02-03,East,Chocolate Shake,AC,17.1,Monday,1076,sales_2025-02-03.csv,0,-0.4923899181060438
2025-02-03,East,Vanilla Shake,AC,17.1,Monday,1022,sales_2025-02-03.csv,0,-0.4951709287813962
2025-02-03,East,Orange Juice,AD,17.1,Monday,1249,sales_2025-02-03.csv,0,-0.48848331203441814
2025-02-03,East,Apple Juice,AD,17.1,Monday,1202,sales_2025-02-03.csv,0,-0.4888229825853778
2025-02-03,East,Mango Juice,AD,17.1,Monday,1259,sales_2025-02-03.csv,0,-0.48848331203441814
2025-02-03,East,Pepsi Max,AE,17.1,Monday,1176,sales_2025-02-03.csv,0,-0.482765095401822
2025-02-03,East,Cola Zero,AE,17.1,Monday,1251,sales_2025-02-03.csv,0,-0.48622024782526946
2025-02-03,East,Sprite Zero,AE,17.1,Monday,1170,sales_2025-02-03.csv,0,-0.482765095401822
2025-02-03,East,Kombucha,AF,17.1,Monday,1010,sales_2025-02-03.csv,0,-0.47611804415792114
2025-02-03,East,Coconut Water,AF,17.1,Monday,1025,sales_2025-02-03.csv,0,-0.4755047626397406
2025-02-03,East,Isotonic Drink,AF,17.1,Monday,1062,sales_2025-02-03.csv,0,-0.4750499623172725
2025-02-04,North,Coca-Cola,AA,14.3,Tuesday,1420,sales_2025-02-04.csv,0,-0.4831119643409843
2025-02-04,North,Fanta,AA,14.3,Tuesday,1416,sales_2025-02-04.csv,0,-0.4831119643409843
2025-02-04,North,Sprite,AA,14.3,Tuesday,1293,sales_2025-02-04.csv,0,-0.4754510707717399
2025-02-04,North,Pepsi,AA,14.3,Tuesday,1280,sales_2025-02-04.csv,0,-0.4751294958826214
2025-02-04,North,Golden Milk,AB,14.3,Tuesday,762,sales_2025-02-04.csv,0,-0.485910475372239
2025-02-04,North,Almond Drink,AB,14.3,Tuesday,903,sales_2025-02-04.csv,0,-0.48420150342831003
2025-02-04,North,Oat Latte,AB,14.3,Tuesday,873,sales_2025-02-04.csv,0,-0.483874010118592
2025-02-04,North,Strawberry Shake,AC,14.3,Tuesday,1060,sales_2025-02-04.csv,0,-0.4869381290498646
2025-02-04,North,Chocolate Shake,AC,14.3,Tuesday,1112,sales_2025-02-04.csv,0,-0.4879841105049548
2025-02-04,North,Vanilla Shake,AC,14.3,Tuesday,1097,sales_2025-02-04.csv,0,-0.488052588669161
2025-02-04,North,Orange Juice,AD,14.3,Tuesday,1260,sales_2025-02-04.csv,0,-0.49386350415231095
2025-02-04,North,Apple Juice,AD,14.3,Tuesday,1276,sales_2025-02-04.csv,0,-0.49426710862114676
2025-02-04,North,Mango Juice,AD,14.3,Tuesday,1253,sales_2025-02-04.csv,0,-0.49386350415231095
2025-02-04,North,Pepsi Max,AE,14.3,Tuesday,1158,sales_2025-02-04.csv,0,-0.4708739422755732
2025-02-04,North,Cola Zero,AE,14.3,Tuesday,918,sales_2025-02-04.csv,0,-0.47801594836446004
2025-02-04,North,Sprite Zero,AE,14.3,Tuesday,1125,sales_2025-02-04.csv,0,-0.47048944000130516
2025-02-04,North,Kombucha,AF,14.3,Tuesday,1050,sales_2025-02-04.csv,0,-0.47967618909105963
2025-02-04,North,Coconut Water,AF,14.3,Tuesday,1034,sales_2025-02-04.csv,0,-0.4793517565115528
2025-02-04,North,Isotonic Drink,AF,14.3,Tuesday,1042,sales_2025-02-04.csv,0,-0.4793517565115528
2025-02-04,South,Coca-Cola,AA,25.1,Tuesday,3302,sales_2025-02-04.csv,1,-0.5342436257598021
2025-02-04,South,Fanta,AA,25.1,Tuesday,1580,sales_2025-02-04.csv,0,-0.5096869204552461
2025-02-04,South,Sprite,AA,25.1,Tuesday,1474,sales_2025-02-04.csv,0,-0.5013794941690226
2025-02-04,South,Pepsi,AA,25.1,Tuesday,1426,sales_2025-02-04.csv,0,-0.49796420481207865
2025-02-04,South,Golden Milk,AB,25.1,Tuesday,873,sales_2025-02-04.csv,0,-0.48867305712228615
2025-02-04,South,Almond Drink,AB,25.1,Tuesday,881,sales_2025-02-04.csv,0,-0.4893347637289378
2025-02-04,South,Oat Latte,AB,25.1,Tuesday,823,sales_2025-02-04.csv,0,-0.4890037985002076
2025-02-04,South,Strawberry Shake,AC,25.1,Tuesday,988,sales_2025-02-04.csv,0,-0.5053033696904987
2025-02-04,South,Chocolate Shake,AC,25.1,Tuesday,1015,sales_2025-02-04.csv,0,-0.5046200694165931
2025-02-04,South,Vanilla Shake,AC,25.1,Tuesday,1036,sales_2025-02-04.csv,0,-0.5023848190706808
2025-02-04,South,Orange Juice,AD,25.1,Tuesday,1375,sales_2025-02-04.csv,0,-0.49763598495153427
2025-02-04,South,Apple Juice,AD,25.1,Tuesday,1315,sales_2025-02-04.csv,0,-0.4917891335211651
2025-02-04,South,Mango Juice,AD,25.1,Tuesday,1235,sales_2025-02-04.csv,0,-0.4919440765136229
2025-02-04,South,Pepsi Max,AE,25.1,Tuesday,1061,sales_2025-02-04.csv,0,-0.4778557577002695
2025-02-04,South,Cola Zero,AE,25.1,Tuesday,1221,sales_2025-02-04.csv,0,-0.478284298126518
2025-02-04,South,Sprite Zero,AE,25.1,Tuesday,1171,sales_2025-02-04.csv,0,-0.4767694068564523
2025-02-04,South,Kombucha,AF,25.1,Tuesday,2032,sales_2025-02-04.csv,0,-0.5201076492448684
2025-02-04,South,Coconut Water,AF,25.1,Tuesday,1049,sales_2025-02-04.csv,0,-0.4922452463920467
2025-02-04,South,Isotonic Drink,AF,25.1,Tuesday,1103,sales_2025-02-04.csv,0,-0.4922416163586036
2025-02-04,East,Coca-Cola,AA,13.2,Tuesday,1033,sales_2025-02-04.csv,0,-0.48216485439099266
2025-02-04,East,Fanta,AA,13.2,Tuesday,1055,sales_2025-02-04.csv,0,-0.48249119091804743
2025-02-04,East,Sprite,AA,13.2,Tuesday,1047,sales_2025-02-04.csv,0,-0.48249119091804743
2025-02-04,East,Pepsi,AA,13.2,Tuesday,1139,sales_2025-02-04.csv,0,-0.48132596658156823
2025-02-04,East,Golden Milk,AB,13.2,Tuesday,965,sales_2025-02-04.csv,0,-0.49078823705272073
2025-02-04,East,Almond Drink,AB,13.2,Tuesday,1003,sales_2025-02-04.csv,0,-0.4909997714627908
2025-02-04,East,Oat Latte,AB,13.2,Tuesday,968,sales_2025-02-04.csv,0,-0.49112041001667817
2025-02-04,East,Strawberry Shake,AC,13.2,Tuesday,1203,sales_2025-02-04.csv,0,-0.48701621509871706
2025-02-04,East,Chocolate Shake,AC,13.2,Tuesday,1299,sales_2025-02-04.csv,0,-0.48762673382157673
2025-02-04,East,Vanilla Shake,AC,13.2,Tuesday,1178,sales_2025-02-04.csv,0,-0.4859604979421484
2025-02-04,East,Orange Juice,AD,13.2,Tuesday,1151,sales_2025-02-04.csv,0,-0.5000841747357175
2025-02-04,East,Apple Juice,AD,13.2,Tuesday,1081,sales_2025-02-04.csv,0,-0.4979847245055485
2025-02-04,East,Mango Juice,AD,13.2,Tuesday,1103,sales_2025-02-04.csv,0,-0.49832176816196916
2025-02-04,East,Pepsi Max,AE,13.2,Tuesday,1249,sales_2025-02-04.csv,0,-0.47855230587637887
2025-02-04,East,Cola Zero,AE,13.2,Tuesday,1196,sales_2025-02-04.csv,0,-0.47887619737550313
2025-02-04,East,Sprite Zero,AE,13.2,Tuesday,1298,sales_2025-02-04.csv,0,-0.47855230587637887
2025-02-04,East,Kombucha,AF,13.2,Tuesday,941,sales_2025-02-04.csv,0,-0.4900101182143067
2025-02-04,East,Coconut Water,AF,13.2,Tuesday,997,sales_2025-02-04.csv,0,-0.48741673712310846
2025-02-04,East,Isotonic Drink,AF,13.2,Tuesday,941,sales_2025-02-04.csv,0,-0.4900101182143067
2025-02-05,North,Coca-Cola,AA,14.9,Wednesday,1374,sales_2025-02-05.csv,0,-0.5024981812296435
2025-02-05,North,Fanta,AA,14.9,Wednesday,1371,sales_2025-02-05.csv,0,-0.5009005467704497
2025-02-05,North,Sprite,AA,14.9,Wednesday,1286,sales_2025-02-05.csv,0,-0.4961300536708574
2025-02-05,North,Pepsi,AA,14.9,Wednesday,1385,sales_2025-02-05.csv,0,-0.5024981812296435
2025-02-05,North,Golden Milk,AB,14.9,Wednesday,901,sales_2025-02-05.csv,0,-0.5072748348102863
2025-02-05,North,Almond Drink,AB,14.9,Wednesday,967,sales_2025-02-05.csv,0,-0.5071324943606379
2025-02-05,North,Oat Latte,AB,14.9,Wednesday,772,sales_2025-02-05.csv,0,-0.5097343591542005
2025-02-05,North,Strawberry Shake,AC,14.9,Wednesday,952,sales_2025-02-05.csv,0,-0.5126377879177494
2025-02-05,North,Chocolate Shake,AC,14.9,Wednesday,1080,sales_2025-02-05.csv,0,-0.5096587007566699
2025-02-05,North,Vanilla Shake,AC,14.9,Wednesday,1185,sales_2025-02-05.csv,0,-0.5094563224404843
2025-02-05,North,Orange Juice,AD,14.9,Wednesday,1344,sales_2025-02-05.csv,0,-0.5104616267808527
2025-02-05,North,Apple Juice,AD,14.9,Wednesday,1238,sales_2025-02-05.csv,0,-0.5050035313545084
2025-02-05,North,Mango Juice,AD,14.9,Wednesday,1168,sales_2025-02-05.csv,0,-0.5077075041154698
2025-02-05,North,Pepsi Max,AE,14.9,Wednesday,1184,sales_2025-02-05.csv,0,-0.49503575179305914
2025-02-05,North,Cola Zero,AE,14.9,Wednesday,1126,sales_2025-02-05.csv,0,-0.4941988721174054
2025-02-05,North,Sprite Zero,AE,14.9,Wednesday,1173,sales_2025-02-05.csv,0,-0.49594312941770313
2025-02-05,North,Kombucha,AF,14.9,Wednesday,1081,sales_2025-02-05.csv,0,-0.5059348835717123
2025-02-05,North,Coconut Water,AF,14.9,Wednesday,1075,sales_2025-02-05.csv,0,-0.5059348835717123
2025-02-05,North,Isotonic Drink,AF,14.9,Wednesday,1280,sales_2025-02-05.csv,0,-0.5129663762926978
